Word,Count,Reading,JLPT Level,Meaning
する,78,スル,jlpt-n3,to do
ゐる,59,ヰル,unknown,unknown
下人,44,ゲニン,unknown,low-rank person
事,31,コト,jlpt-n3,thing
云,30,ウン,jlpt-n3,to say
つて,30,ツテ,unknown,means of making contact
老婆,28,ロウバ,unknown,old woman
上,27,ウエ,jlpt-n5,above
の,26,ノ,unknown,indicates possessive
やう,25,ヤウ,unknown,night rain
ふる,24,フル,jlpt-n5,"to fall (of rain, snow, ash, etc.)"
來,16,*,jlpt-n5,next year
いる,16,イル,jlpt-n5,to be (of animate objects)
門,16,モン,jlpt-n5,door (esp. Japanese-style)
ない,14,ナイ,unknown,nonexistent
雨,13,アメ,jlpt-n5,rain
屍骸,13,シガイ,unknown,(dead) body
それ,12,ソレ,jlpt-n3,that
なる,12,ナル,jlpt-n3,to become
ある,11,アル,jlpt-n3,to be
一,11,イチ,jlpt-n5,one
惡,11,*,jlpt-n1,evil
髮,11,*,jlpt-n4,hair (on the head)
男,11,オトコ,jlpt-n5,man
氣,10,*,jlpt-n4,spirit
何,10,ナニ,jlpt-n3,what
拔,10,*,unknown,unknown
見る,9,ミル,jlpt-n5,to see
つた,9,ツタ,unknown,"ivy (esp. Boston ivy, Parthenocissus tricuspidata)"
手,9,テ,jlpt-n5,hand
梯子,9,ハシゴ,jlpt-n2,ladder
さ,9,サ,jlpt-n3,difference
外,8,ソト,jlpt-n5,outside
死人,8,シニン,unknown,corpse
女,8,オンナ,jlpt-n5,female
れる,8,レル,unknown,"indicates passive voice (incl. the ""suffering passive"")"
火,8,ヒ,jlpt-n4,fire
中,8,ナカ,jlpt-n3,medium (size)
饑死,8,*,unknown,(death from) starvation
下,8,シタ,jlpt-n5,below
うい,8,ウイ,jlpt-n1,first
出る,8,デル,jlpt-n5,to leave
出す,8,ダス,jlpt-n5,to take out
つく,7,ツク,jlpt-n5,to arrive at
太刀,7,タチ,unknown,"long sword (esp. the tachi, worn on the hip edge down by samurai)"
時,7,トキ,jlpt-n3,time
毛,7,モウ,jlpt-n4,hair
前,7,マエ,jlpt-n1,last (i.e. immediately preceding)
羅生門,7,ラショウモン,unknown,Rashōmon (gate in old Kyoto)
自分,6,ジブン,jlpt-n5,myself
持つ,6,モツ,jlpt-n5,to hold (in one's hand)
かける,6,カケル,jlpt-n4,"to hang up (e.g. a coat, a picture on the wall)"
今,6,イマ,jlpt-n5,now
眼,6,メ,jlpt-n5,eye
聞く,6,キク,jlpt-n5,to hear
心,6,ココロ,jlpt-n4,mind
誰,5,ダレ,jlpt-n1,who
光,5,ヒカリ,jlpt-n4,light
盗人,5,ヌスビト,unknown,thief
人,5,ヒト,jlpt-n5,person
樓,5,*,unknown,tower
見える,5,ミエル,jlpt-n4,to be seen
右,5,ミギ,jlpt-n5,right
夜,5,ヨル,jlpt-n3,evening
選ぶ,5,エラブ,jlpt-n4,to choose
唯,5,タダ,jlpt-n3,ordinary
まつ,5,マツ,jlpt-n5,to wait
勇,5,イサム,unknown,bravery
さつき,5,サツキ,unknown,fifth month of the lunar calendar
聲,5,*,jlpt-n5,voice
段,5,ダン,jlpt-n3,step
鴉,5,カラス,unknown,crow (Corvus spp.)
行,5,クダリ,jlpt-n1,line (of text)
仕方,4,シカタ,jlpt-n4,way
體,4,*,unknown,classical form of martial art
やみ,4,ヤミ,jlpt-n1,darkness
通り,4,トオリ,jlpt-n3,avenue
行く,4,イク,jlpt-n1,to go
二,4,ニ,jlpt-n5,two
く,4,ク,jlpt-n3,section (i.e. of text)
四,4,ヨン,jlpt-n3,four
所,4,トコロ,jlpt-n5,place
これ,4,コレ,jlpt-n1,this
知れる,4,シレル,unknown,to become known
よい,4,ヨイ,jlpt-n3,good
丈,4,タケ,jlpt-n1,height
長い,4,ナガイ,jlpt-n2,"long (distance, length)"
己,4,オノレ,jlpt-n1,I
者,4,モノ,jlpt-n3,person
面皰,4,ニキビ,jlpt-n1,pimple
柱,4,ハシラ,jlpt-n1,pillar
頬,4,ホオ,jlpt-n3,cheek (of the face)
着物,4,キモノ,jlpt-n4,kimono
うし,4,ウシ,jlpt-n3,cattle (Bos taurus)
對,4,*,unknown,versus
賣る,4,ウル,unknown,unknown
思ふ,4,オモフ,unknown,unknown
眺める,3,ナガメル,jlpt-n3,to look at
當,3,*,unknown,type of bronze Chinese coin first issued under Emperor Yuan of the Southern Liang dynasty worth the value of ten iron coins
高い,3,タカイ,jlpt-n5,high
肩,3,カタ,jlpt-n3,shoulder
ちる,3,チル,jlpt-n2,"to fall (e.g. blossoms, leaves)"
ぢ,3,ヂ,unknown,hemorrhoids
つかむ,3,ツカム,jlpt-n3,to seize
あらう,3,アラ,jlpt-n5,to wash
猿,3,サル,jlpt-n3,"monkey (esp. the Japanese macaque, Macaca fuscata)"
主人,3,シュジン,unknown,head (of a household)
意識,3,イシキ,jlpt-n3,consciousness
松,3,マツ,jlpt-n3,pine tree (Pinus spp.)
足,3,アシ,jlpt-n5,foot
木片,3,モクヘン,unknown,block (of wood)
柄,3,エ,jlpt-n3,pattern
赤い,3,アカイ,jlpt-n5,red
喉,3,ノド,jlpt-n3,throat
一番,3,イチバン,jlpt-n3,number one
かう,3,カウ,jlpt-n5,to buy
人間,3,ニンゲン,jlpt-n3,human being
口,3,クチ,jlpt-n5,mouth
低い,3,ヒクイ,jlpt-n5,"low (rank, degree, value, content, quality, etc.)"
從,3,*,jlpt-n3,"to obey (an order, law, etc.)"
床,3,ユカ,jlpt-n3,floor
動かす,3,ウゴカス,jlpt-n3,to move
鼻,3,ハナ,jlpt-n5,nose
默,3,*,unknown,unknown
待つ,3,マツ,jlpt-n5,to wait
忘れる,3,ワスレル,jlpt-n5,to forget
憎い,3,ニクイ,jlpt-n2,hateful
佛,3,ホトケ,jlpt-n3,Buddha
廣,3,ヒロシ,jlpt-n3,advertisement
京都,3,キョウト,unknown,"Kyoto (city, prefecture)"
棄てる,3,ステル,jlpt-n4,to throw away
土,3,ド,jlpt-n3,earth
燃える,3,モエル,jlpt-n3,to burn
可,3,カ,jlpt-n3,acceptable
上る,3,ノボル,jlpt-n3,to ascend
三,3,サン,jlpt-n1,three
動く,3,ウゴク,jlpt-n4,to move
見開く,2,ミヒラク,unknown,to open (one's eyes) wide
考,2,コウ,unknown,thought
程,2,ホド,jlpt-n3,extent
殆,2,*,unknown,quite
間,2,マ,jlpt-n4,space (between)
音,2,オト,jlpt-n4,sound
滿,2,ミツル,jlpt-n3,satisfaction
的,2,テキ,jlpt-n1,-ical
夕闇,2,ユウヤミ,unknown,dusk
甍,2,イラカ,unknown,roof tile
底本,2,テイホン,unknown,original text
分の,2,ブンノ,unknown,-th (e.g. one fifth)
爲,2,*,jlpt-n4,good
手段,2,シュダン,jlpt-n3,means
つける,2,ツケル,jlpt-n3,to attach
肯定,2,コウテイ,jlpt-n2,affirmation
あつい,2,アツイ,jlpt-n5,hot (to the touch)
鞘,2,サヤ,unknown,scabbard
やつ,2,ヤツ,unknown,fellow
暗い,2,クライ,jlpt-n5,dark
唖,2,オシ,unknown,muteness
どこ,2,ドコ,jlpt-n1,where
考へる,2,カンガヘル,unknown,unknown
急,2,キュウ,jlpt-n4,sudden
奪,2,ダツ,jlpt-n3,to take (by force)
強い,2,ツヨイ,jlpt-n5,strong
挿す,2,サス,jlpt-n2,to insert
這,2,*,jlpt-n5,to enter
内,2,ウチ,jlpt-n4,inside
覗く,2,ノゾク,jlpt-n2,"to peek (through a keyhole, gap, etc.)"
掩,2,*,jlpt-n3,to cover
幾つ,2,イクツ,jlpt-n3,how many
數,2,*,unknown,several times
檜,2,ヒノキ,unknown,hinoki cypress (Chamaecyparis obtusa)
わかる,2,ワカル,jlpt-n2,to understand
げ,2,ゲ,unknown,seeming
裸,2,ハダカ,jlpt-n3,nakedness
皆,2,ミナ,jlpt-n4,everyone
はげしい,2,ハゲシイ,jlpt-n3,violent
兩手,2,*,unknown,unknown
部分,2,ブブン,jlpt-n3,portion
づゝ,2,*,unknown,unknown
本,2,ホン,jlpt-n5,book
頭,2,アタマ,jlpt-n5,head
喘ぐ,2,アエグ,unknown,to gasp
頸,2,*,jlpt-n4,neck
一つ,2,ヒトツ,jlpt-n5,one
め,2,メ,jlpt-n5,eye
そこ,2,ソコ,jlpt-n1,there (place relatively near listener)
腕,2,ウデ,jlpt-n4,arm
かす,2,カス,jlpt-n5,to lend
思,2,*,jlpt-n4,to think
幅,2,ハバ,jlpt-n3,width
之,2,コレ,jlpt-n1,this
こむ,2,コム,jlpt-n4,to be crowded
顏,2,*,unknown,face
聖,2,キヨシ,unknown,Saint
